title	tag
How many societies do we have in IIT Mandi?	mandi
What is Technical Society?	mandi
What are the clubs under Technical Society?	mandi
How can we join the clubs in Technical society?	mandi
What are the works of Programming club?	mandi
How can we join Programming club?	mandi
What is STAC?	mandi
How can we join STAC?	mandi
What is Entrepreneurship Club?	mandi
How can we join Entrepreneurship Club?	mandi
What is Robotronics Club?	mandi
How can we join Robotronics Club?	mandi
What is Yantrik Club?	mandi
How can we join Yantrik Club?	mandi
What is Nirmaan Club?	mandi
How can we join Nirmaan Club?	mandi
What is SAE?	mandi
How can we join SAE?	mandi
What is Literary Society?	mandi
What are the clubs under Literary Society?	mandi
What is Writing Club?	mandi
What is Debating Club?	mandi
What is Quizzing club?	mandi
What is the Cultural Society?	mandi
What are the clubs under Cultural Society?	mandi
What is Drama club?	mandi
How can we join Drama Club?	mandi
What is UDC?	mandi
What is Uhl Dance crew?	mandi
How can we join UDC?	mandi
How can we join Uhl Dance Company?	mandi
What is PMC?	mandi
What is Photography and Moviemaking Club?	mandi
How can we join PMC?	mandi
How can we join Photography and Moviemaking Club?	mandi
What is Music Club?	mandi
How can we join Music Club?	mandi
What is Designauts?	mandi
How can we join Designauts?	mandi
What is Art Geeks?	mandi
How can we Join Art Geeks?	mandi
What is the Research Society?	mandi
What is SCRI?	mandi
What is IEEE?	mandi
What is ACM?	mandi
What is ACM-W?	mandi
What is Academic Society?	mandi
What is UG Academic Council?	mandi
What is Senate?	mandi
What are the sports facilities at IIT Mandi?	mandi
IIT Mandi has 8 Societies under the Student Gymkhana.	mandi
Technical Society is a group of technical clubs, such as Programming club,STAC,Entrepreneurship Club,Robotronics Club,Yantrik Club,Nirmaan Club,SAE.	mandi
Technical Society is a group of technical clubs, such as Programming club,STAC,Entrepreneurship Club,Robotronics Club,Yantrik Club,Nirmaan Club,SAE.	mandi
The clubs under Technical Society are open to all.	mandi
Programming Club, aka KamandPrompt is a group of clubs where students can acquire knowledge and gain experience in the field of Competitive Programming, Machine Learning, Artificial Intelligence and Development.For more info visit https://wiki.iitmandi.co.in/p/Programming_Club.	mandi
Programming Club, aka KamandPrompt is a technical club, thus open to all. For more info, visit https://wiki.iitmandi.co.in/p/Programming_Club.	mandi
STAC is a club where one can explore every corner of the technical knowledge they have! The club enables students to not only enhance their knowledge about the different aspects related to astronomy and astrophysics but also use the technologies available to develop their skills that will help them in future. The club was founded by Gurbir Singh and Diler Salva on 5th March 2012. Its activities include observing astronomical objects and bodies, organizing talks about astronomy and astrophysics, doing projects related to space technology. The club organizes two major fests in an academic year: Astrax, an inter-college astro-meet and Zenith, an intra-college astronomy fest. There are various discussions, quizzes, talks, hackathons that STAC organizes throughout the year. For more info visit https://wiki.iitmandi.co.in/p/STAC.	mandi
STAC is a technical club, thus open to all. For more info visit https://wiki.iitmandi.co.in/p/STAC.	mandi
E-Cell, aka Entrepreneurship Cell, is IIT Mandi’s in-campus organization that aims to instigate the entrepreneurial spirits among our community. As the name celebrates our crazy love for subjects related to business and its disciplines, we always strive to give a glimpse of the world of business and finance by conducting multifarious of events, sessions and competitions. For more info visit https://wiki.iitmandi.co.in/p/Entrepreneurship_Cell	mandi
E-Cell, aka Entrepreneurship Cell, is a technical club, thus open to all.For more info https://wiki.iitmandi.co.in/p/Entrepreneurship_Cell	mandi
Robotronics Club is the official club under Science and Technology Council, IIT Mandi. It is one of the most active clubs created to bring out the creativity among the students and make them familiar with the ever growing world of Robotics. The club provides an entry point and a platform to the students where they can come and learn this amazing field of technology. For more info visit https://wiki.iitmandi.co.in/p/Robotronics_Club.	mandi
Robotronics Club is a technical club, thus open to all. For more info visit https://wiki.iitmandi.co.in/p/Robotronics_Club	mandi
Yantrik is one of the major clubs of IIT Mandi. It comes under the Science and Technology Council. Yantrik conducts various events like junkyard wars, RC races, and even mechatronics workshop. Yantrik is growing with the contribution of new members with each coming year.For more info visit https://wiki.iitmandi.co.in/p/Yantrik_Club	mandi
Yantrik is a technical club, thus open to all.For more info visit https://wiki.iitmandi.co.in/p/Yantrik_Club	mandi
Nirmaan Club is a club of IIT Mandi where someone can explore the beauty of civil engineering by making a prototype or analysing any civil engineering structure. It gives an opportunity where someone can interact with his/her juniors or seniors, where someone can participate as well as organise events or where someone can represent his/her college in inter college events. For more info visit https://wiki.iitmandi.co.in/p/Nirmaan_Club	mandi
Nirmaan Club is a technical club, thus open to all. For more info visit https://wiki.iitmandi.co.in/p/Nirmaan_Club	mandi
It is the collegiate club of SAE ( Society of Automotive Engineers) in IIT Mandi.SAE International, initially established as the Society of Automotive Engineers, is a U.S.-based, globally active professional association and standards developing organization for engineering professionals in various industries.A platform to provide access to the global SAE community.For more info visit https://wiki.iitmandi.co.in/p/SAE	mandi
SAE ( Society of Automotive Engineers) in IIT Mandi is a technical club, thus open to all.	mandi
Literary Society at IIT Mandi Consists of Writing Club, Debating Club, Quizzing Club.	mandi
Literary Society at IIT Mandi Consists of Writing Club, Debating Club, Quizzing Club.	mandi
The writing club of IIT Mandi is a part of Literary Society comprising of the mini authors, poets, shaayars and creative writers of the campus. Being one of the most active clubs of the Gymkhaana it has expanded and grown so much since it's start. A plethora of events and competitions are organized on monthly and semesterly basis. Last year also marked the start of inter-college Literary Fest of IIT Mandi, making it one of the largest literary fests in the Himalayas.For more info visit https://wiki.iitmandi.co.in/p/Writing_Club	mandi
"Going by the name ""The Society of Debaters""(TSOD), the debating club of IIT Mandi is a place where a group of people crowd together, to discuss, to argue and to facilitate their interest on various topics going all round the world. These maybe ethical or moral issues, issues related to politics or business or schemes or maybe sometime just to slander on personal issues. All that can be argued about is all this club shares its interest in. The club organizes a rich profusion of events on monthly and semesterly basis. The club also contributes in ""EXODIA"" the cultural fest and ""RUVAAN"" the literary fest of IIT Mandi and has also shown a dedicated participation in the Inter-IIT cultural meets. For more info visit https://wiki.iitmandi.co.in/p/Debating_Club"	mandi
Qurosity is the quizzing club of IIT Mandi, filled with erudite members who have a staunch to learn or share their knowledge. We conduct quizzes at inter and intra college competitions on monthly and semester basis. For more info visit https://wiki.iitmandi.co.in/p/Quizzing_Club	mandi
Cultural Society at IIT Mandi comprises of Drama Club, UDC(Uhl Dance Company), PMC(Photography and Moviemaking Club), Music Club, Designauts, Art Geeks.	mandi
Cultural Society at IIT Mandi comprises of Drama Club, UDC(Uhl Dance Company), PMC(Photography and Moviemaking Club), Music Club, Designauts, Art Geeks.	mandi
Drama Club of IIT Mandi is an organisation that comprises of actors, scriptwriters and creatives who have a keen interest in various forms of dramatics and more are eager enough to express themselves. It performs street plays, stage plays, mimes, etc on various events.For more info visit https://wiki.iitmandi.co.in/p/Drama_Club	mandi
Though auditions are held every odd semester that test various skills (acting, voice modulation, etc), but it is always open for those who are enthusiastic and passionate enough. For more info visit https://wiki.iitmandi.co.in/p/Drama_Club	mandi
UDC, (Uhl Dance Crew) is the dance club of IIT Mandi. The club aims to promote the culture and spirit of dance in the college, and motivate all dance enthusiasts to share their talent. We host a variety of workshops, perform flash mobs, and conduct competitions throughout the year. We have brought numerous laurels to the institute. For more info visit https://wiki.iitmandi.co.in/p/UDC	mandi
UDC, (Uhl Dance Crew) is the dance club of IIT Mandi. The club aims to promote the culture and spirit of dance in the college, and motivate all dance enthusiasts to share their talent. We host a variety of workshops, perform flash mobs, and conduct competitions throughout the year. We have brought numerous laurels to the institute. For more info visit https://wiki.iitmandi.co.in/p/UDC	mandi
Applications are open to all those associated with the institute. There are 3 rounds, and the top performers are welcomed to the club. The scoring is done by all the current members of the club.For more info visit https://wiki.iitmandi.co.in/p/UDC	mandi
Applications are open to all those associated with the institute. There are 3 rounds, and the top performers are welcomed to the club. The scoring is done by all the current members of the club.For more info visit https://wiki.iitmandi.co.in/p/UDC	mandi
Photography and Moviemaking Club (PMC) is the official photography and videography club of IIT Mandi. It is one of the most prominent and influential clubs of the cultural society. It conducts several events, workshops and sessions all year round. It has brought numerous laurels to the institute. For more info visit https://wiki.iitmandi.co.in/p/Photography_and_Moviemaking_Club	mandi
Photography and Moviemaking Club (PMC) is the official photography and videography club of IIT Mandi. It is one of the most prominent and influential clubs of the cultural society. It conducts several events, workshops and sessions all year round. It has brought numerous laurels to the institute. For more info visit https://wiki.iitmandi.co.in/p/Photography_and_Moviemaking_Club	mandi
Interested freshers go through an induction in their first semester where various facets of the club are introduced to them through sessions conducted by senior members. It is an open club. For selection in the core team, over the first year the participation in events and contribution is gauged. At the end of the year there is an interview process for coordinator and core team member selection. For more info visit https://wiki.iitmandi.co.in/p/Photography_and_Moviemaking_Club	mandi
Interested freshers go through an induction in their first semester where various facets of the club are introduced to them through sessions conducted by senior members. It is an open club. For selection in the core team, over the first year the participation in events and contribution is gauged. At the end of the year there is an interview process for coordinator and core team member selection. For more info visit https://wiki.iitmandi.co.in/p/Photography_and_Moviemaking_Club	mandi
Music Club of IIT Mandi is an organisation which consists of people passionate about music. It regularly gives performances during major campus events and also conducts many competitions throughout the year. It is committed to help students inculcate and improve their skills in music. For more info visit https://wiki.iitmandi.co.in/p/Music_Club#Selection	mandi
The club conducts auditions each year for new students to join. These auditions are judged by seniors who are part of the club and it is done in an unbiased manner. Every student is tested on the basic music theory. Vocalists are judged by their ability to match and vary scales while instrumentalists are asked to play a piece on their respective instruments. For more info visit https://wiki.iitmandi.co.in/p/Music_Club#Selection	mandi
Designauts is design club of IIT Mandi. The club is open to all students of IIT Mandi. Designauts focuses mainly on Graphic designing but is working successfully on including other forms of design such as Ui/Ux design, Animation, and 3d modelling. The club is all about learning together and also, encourages self learning, because of the unlimited designing styles. For more info visit https://wiki.iitmandi.co.in/p/Designauts#Selection	mandi
The club is open to everyone. Everyone who joins the club learns from scratch. Selection for core team, is open to all students from 2nd, 3rd and 4th year. The selection will be made on the basis of their designing knowledge, club activity and passion to help the club become better. For more info visit https://wiki.iitmandi.co.in/p/Designauts#Selection	mandi
Art Geeks is the official art club of IIT Mandi. It is the heart of creativity in the college. In a short span, it has successfully established its identity in the college. Each year the club is responsible for new and innovative ways of promoting the art culture in the college. For more info visit https://wiki.iitmandi.co.in/p/Art_Geeks	mandi
